,location,floor,floors_count,rooms_count,total_meters,price,year_of_construction,living_meters,kitchen_meters,district,underground,meter_price
0,Москва,5.0,7.0,1.0,34.6,9000000.0,1978.0,18.0,8.0,Северное Измайлово,Щёлковская,260115.61
1,Москва,14.0,45.0,1.0,41.3,12800000.0,2026.0,20.0,11.0,Нижегородский,Нижегородская,309927.36
2,Москва,10.0,12.0,1.0,34.4,19372498.0,2026.0,11.8,11.7,Преображенское,Преображенская площадь,563154.01
3,Москва,4.0,33.0,1.0,42.9,23600000.0,2006.0,22.9,15.0,Останкинский,Алексеевская,550116.55
4,Москва,1.0,16.0,1.0,37.7,9450000.0,1982.0,,,Чертаново Центральное,Пражская,250663.13
5,Москва,2.0,24.0,1.0,32.6,16906360.0,2027.0,18.8,,Сокольники,Сокольники,518600.0
6,Москва,13.0,17.0,1.0,37.6,11000000.0,2018.0,17.6,15.0,Москва,Бачуринская,292553.19
7,Москва,46.0,48.0,1.0,33.7,15478241.0,2027.0,10.1,,Покровское-Стрешнево,Тушинская,459294.99
8,Москва,9.0,28.0,1.0,34.7,14500000.0,2023.0,9.1,14.2,Богородское,Бульвар Рокоссовского,417867.44
9,Москва,2.0,18.0,1.0,34.8,15834000.0,2028.0,11.7,13.0,Покровское-Стрешнево,Тушинская,455000.0
10,Москва,51.0,75.0,1.0,123.0,85000000.0,2006.0,69.0,15.0,Пресненский,Деловой центр,691056.91
11,Москва,5.0,9.0,1.0,34.1,10990000.0,1970.0,17.1,8.1,Чертаново Центральное,Пражская,322287.39
12,Москва,5.0,17.0,1.0,33.0,7582202.0,2025.0,11.8,10.6,Москва,Бунинская аллея,229763.7
13,Москва,4.0,28.0,1.0,47.4,20443620.0,2027.0,17.9,,Сокольники,Сокольники,431300.0
14,Москва,2.0,16.0,1.0,37.5,20328519.0,2025.0,13.5,10.7,Сокол,Октябрьское поле,542093.84
15,Москва,13.0,24.0,1.0,36.8,17750000.0,2006.0,11.4,17.7,Донской,Верхние котлы,482336.96
16,Москва,5.0,17.0,1.0,50.2,34900000.0,2024.0,16.1,16.8,Гагаринский,Ленинский проспект,695219.12
17,Москва,4.0,17.0,1.0,40.0,9700000.0,1987.0,19.0,7.0,Солнцево,Говорово,242500.0
18,Москва,2.0,19.0,1.0,39.8,9237580.0,2026.0,18.4,10.8,Москва,Москва,232100.0
19,Москва,40.0,63.0,1.0,51.0,57600000.0,2006.0,45.0,,Пресненский,Москва-Сити,1129411.76
20,Москва,2.0,10.0,1.0,36.0,9870000.0,2021.0,,12.0,Москва,Филатов Луг,274166.67
21,Москва,33.0,34.0,1.0,47.8,21433520.0,2028.0,11.5,,Левобережный,Беломорская,448400.0
22,Москва,12.0,49.0,1.0,40.74,20029414.0,2025.0,13.1,,Савеловский,Дмитровская,491640.01
23,Москва,14.0,16.0,1.0,34.6,14400000.0,1978.0,19.5,10.0,Хорошевский,Беговая,416184.97
24,Москва,12.0,23.0,1.0,32.11,6713382.0,2026.0,11.2,10.6,Москва,Летово,209074.49
25,Москва,9.0,9.0,1.0,36.46,6715221.0,2025.0,24.2,3.9,Москва,Силикатная,184180.5
26,Москва,1.0,9.0,1.0,36.23,6747548.0,2025.0,12.8,8.3,Москва,Силикатная,186242.01
27,Москва,12.0,17.0,1.0,36.71,6681423.0,2025.0,10.8,9.8,Москва,Филатов Луг,182005.53
28,Москва,2.0,9.0,1.0,35.39,6684490.0,2026.0,16.3,10.8,Москва,Рассказовка,188880.76
29,Москва,7.0,9.0,1.0,34.1,6705550.0,2026.0,,,Москва,Толстопальцево,196643.7
30,Москва,14.0,14.0,1.0,32.25,6910594.0,2026.0,10.3,10.7,Москва,Рассказовка,214281.98
31,Москва,10.0,23.0,1.0,27.7,6923466.0,2026.0,10.8,11.5,Москва,Филатов Луг,249944.62
32,Москва,1.0,3.0,1.0,39.6,6930000.0,2023.0,,,Москва,Апрелевка,175000.0
33,Москва,14.0,14.0,1.0,35.83,7236227.0,2025.0,10.8,9.8,Молжаниновский,Новоподрезково,201960.01
34,Москва,9.0,9.0,1.0,34.27,7233334.0,2026.0,15.3,11.5,Москва,Рассказовка,211068.98
35,Москва,1.0,3.0,1.0,40.9,7198400.0,2022.0,,,ТАО (Троицкий),Москва,176000.0
36,Москва,14.0,14.0,1.0,40.0,7380000.0,2009.0,17.0,8.5,Южное Бутово,Щербинка,184500.0
37,Москва,1.0,3.0,1.0,45.9,7435800.0,2023.0,,,Москва,Апрелевка,162000.0
38,Москва,2.0,3.0,1.0,45.5,7371000.0,2023.0,,,ТАО (Троицкий),Москва,162000.0
39,Москва,2.0,16.0,1.0,29.54,7579616.0,2026.0,,,поселок Газопровод,Корниловская,256588.22
40,Москва,2.0,16.0,1.0,30.1,7570373.0,2026.0,,,поселок Газопровод,Корниловская,251507.41
41,Москва,13.0,16.0,1.0,27.38,7532645.0,2026.0,,,поселок Газопровод,Корниловская,275114.86
42,Москва,8.0,9.0,1.0,57.6,117936000.0,2023.0,,,Тверской,Маяковская,2047500.0
43,Москва,9.0,40.0,1.0,41.5,32000000.0,2006.0,23.4,4.9,Хорошевский,ЦСКА,771084.34
44,Москва,13.0,41.0,1.0,41.5,31000000.0,2006.0,23.4,4.9,Хорошевский,Аэропорт,746987.95
45,Москва,2.0,27.0,1.0,45.7,21798900.0,2026.0,26.8,7.8,Басманный,Бауманская,477000.0
46,Москва,3.0,20.0,1.0,59.0,61800000.0,2023.0,39.0,15.0,Пресненский,Улица 1905 года,1047457.63
47,Москва,10.0,10.0,1.0,38.5,11280000.0,1994.0,20.7,8.4,Выхино-Жулебино,Лермонтовский проспект,292987.01
48,Москва,5.0,21.0,1.0,65.9,82172522.0,2023.0,18.8,24.9,Пресненский,Улица 1905 года,1246927.5
49,Москва,75.0,95.0,1.0,57.0,47000000.0,2017.0,37.0,10.0,Пресненский,Деловой центр,824561.4
50,Москва,21.0,30.0,1.0,36.5,13000000.0,2024.0,9.7,19.2,Южнопортовый,Угрешская,356164.38
51,Москва,3.0,49.0,1.0,39.37,19037954.0,2025.0,12.8,,Савеловский,Дмитровская,483565.0
52,Москва,4.0,6.0,1.0,59.35,101785250.0,2024.0,48.9,,Мещанский,Кузнецкий мост,1715000.0
53,Москва,1.0,10.0,1.0,31.0,14500000.0,2006.0,20.0,6.0,Раменки,Ломоносовский проспект,467741.94
54,Москва,2.0,16.0,1.0,45.0,23274675.0,2024.0,16.4,14.6,Филевский парк,Фили,517215.0
55,Москва,10.0,22.0,1.0,38.2,12600000.0,2005.0,19.0,10.0,Солнцево,Солнцево,329842.93
56,Москва,7.0,20.0,1.0,43.09,20252300.0,2024.0,10.6,18.7,Даниловский,Тульская,470000.0
58,Москва,15.0,28.0,1.0,40.0,30500000.0,2022.0,16.0,18.0,Раменки,Раменки,762500.0
59,Москва,2.0,44.0,1.0,48.1,25000000.0,2018.0,30.0,3.0,Пресненский,Улица 1905 года,519750.52
60,Москва,20.0,49.0,1.0,40.62,18197760.0,2027.0,12.2,,Марьина роща,Марьина Роща,448000.0
61,Москва,4.0,26.0,1.0,46.0,34000000.0,2021.0,,,Очаково-Матвеевское,Давыдково,739130.43
62,Москва,3.0,17.0,1.0,35.4,14990000.0,2022.0,24.0,9.0,Москва,Потапово,423446.33
63,Москва,7.0,13.0,1.0,45.3,27171760.0,2024.0,,,Южнопортовый,Дубровка,599818.1
64,Москва,13.0,41.0,1.0,43.0,23900000.0,2006.0,21.0,17.0,Хорошево-Мневники,Шелепиха,555813.95
65,Москва,2.0,12.0,1.0,38.7,15000000.0,1985.0,20.7,8.3,Раменки,Минская,387596.9
66,Москва,2.0,14.0,1.0,72.6,139410000.0,2024.0,14.2,31.0,Якиманка,Полянка,1920247.93
67,Москва,18.0,22.0,1.0,43.0,19200000.0,2022.0,22.0,12.0,Щукино,Стрешнево,446511.63
68,Москва,18.0,22.0,1.0,43.0,19500000.0,2022.0,24.0,14.0,Щукино,Стрешнево,453488.37
69,Москва,2.0,44.0,1.0,31.61,14381127.0,2027.0,9.4,,Кунцево,Кунцевская,454954.98
70,Москва,4.0,5.0,1.0,14.4,3450000.0,1930.0,10.0,4.0,Перово,Авиамоторная,239583.33
71,Москва,2.0,6.0,1.0,48.3,95634000.0,2026.0,,,Якиманка,Новокузнецкая,1980000.0
72,Москва,1.0,9.0,1.0,37.7,7700000.0,1966.0,19.0,6.0,Гольяново,Черкизовская,204244.03
73,Москва,4.0,6.0,1.0,50.2,57228000.0,2024.0,12.3,23.9,Замоскворечье,Новокузнецкая,1140000.0
74,Москва,3.0,5.0,1.0,30.0,8390000.0,2021.0,,8.0,Москва,Филатов Луг,279666.67
75,Москва,2.0,46.0,1.0,34.8,16375836.0,2027.0,14.1,,Даниловский,Павелецкая,470570.0
76,Москва,11.0,12.0,1.0,34.8,9350000.0,1966.0,19.9,9.7,Северное Измайлово,Щёлковская,268678.16
77,Москва,3.0,11.0,1.0,55.8,52675646.0,2025.0,,,Даниловский,Павелецкая,944007.99
78,Москва,2.0,9.0,1.0,31.8,11990000.0,1962.0,21.5,5.2,Кунцево,Молодёжная,377044.03
79,Москва,7.0,35.0,1.0,39.22,18847239.0,2027.0,24.1,6.3,Котловка,Профсоюзная,480551.73
80,Москва,4.0,6.0,1.0,35.1,23000000.0,1902.0,,,Басманный,Курская,655270.66
81,Москва,15.0,67.0,1.0,47.5,47500000.0,2025.0,34.5,8.0,Пресненский,Москва-Сити,1000000.0
82,Москва,15.0,17.0,1.0,37.8,9000000.0,2015.0,19.0,7.2,Москва,Рассказовка,238095.24
83,Москва,3.0,7.0,1.0,78.45,196125000.0,2026.0,19.1,29.7,Арбат,Арбатская,2500000.0
84,Москва,16.0,17.0,1.0,30.5,6100000.0,2022.0,12.3,7.0,Москва,Ватутинки,200000.0
85,Москва,9.0,18.0,1.0,49.8,60432000.0,2026.0,11.3,,Хамовники,Воробьёвы горы,1213493.98
86,Москва,22.0,32.0,1.0,37.35,17780000.0,2023.0,,10.0,Нижегородский,Нижегородская,476037.48
87,Москва,5.0,12.0,1.0,33.5,14500000.0,1964.0,17.0,4.0,Беговой,Динамо,432835.82
88,Москва,3.0,26.0,1.0,23.9,22602971.0,2027.0,,,Даниловский,Павелецкая,945731.0
89,Москва,8.0,22.0,1.0,40.0,13290000.0,2000.0,,10.0,Марьино,Люблино,332250.0
90,Москва,14.0,25.0,1.0,39.0,19480000.0,2006.0,13.0,15.0,Щукино,Октябрьское поле,499487.18
91,Москва,6.0,41.0,1.0,36.7,22431040.0,2027.0,14.2,13.4,Даниловский,Тульская,611200.0
92,Москва,10.0,19.0,1.0,60.0,27500000.0,2006.0,25.0,18.0,Хорошево-Мневники,Народное Ополчение,458333.33
93,Москва,10.0,34.0,1.0,64.4,51000000.0,2023.0,41.7,10.0,Дорогомилово,Поклонная,791925.47
94,Москва,2.0,15.0,1.0,30.8,26977720.0,2027.0,,,Даниловский,Тульская,875900.0
95,Москва,21.0,24.0,1.0,40.8,30000000.0,2022.0,25.8,10.0,Хорошевский,Полежаевская,735294.12
96,Москва,24.0,49.0,1.0,43.9,27800000.0,2021.0,17.2,18.0,Раменки,Аминьевская,633257.4
97,Москва,23.0,26.0,1.0,35.67,21910000.0,2024.0,11.0,15.8,Марфино,Бутырская,614241.66
98,Москва,33.0,41.0,1.0,46.0,21000000.0,2024.0,18.0,23.0,Хорошево-Мневники,Шелепиха,456521.74
99,Москва,7.0,48.0,1.0,55.5,33000000.0,2024.0,27.0,7.7,Ростокино,Ботанический сад,594594.59
100,Москва,3.0,36.0,1.0,36.7,30916850.0,2027.0,,,Беговой,Белорусская,842420.98
101,Москва,5.0,10.0,1.0,40.4,28900000.0,2006.0,21.5,8.2,Дорогомилово,Кутузовская,715346.53
102,Москва,31.0,36.0,1.0,49.3,24990000.0,2019.0,25.3,19.0,Хорошево-Мневники,Шелепиха,506896.55
103,Москва,3.0,27.0,1.0,32.07,22210238.0,2027.0,18.1,,Пресненский,Белорусская,692554.97
104,Москва,3.0,5.0,1.0,31.0,18500000.0,1958.0,,,Пресненский,Маяковская,596774.19
105,Москва,5.0,24.0,1.0,39.1,19800000.0,2005.0,,12.0,Фили-Давыдково,Славянский бульвар,506393.86
106,Москва,49.0,66.0,1.0,44.6,44154000.0,2020.0,,,Пресненский,Москва-Сити,990000.0
107,Москва,3.0,17.0,1.0,38.0,13900000.0,2006.0,19.0,7.3,Свиблово,Свиблово,365789.47
108,Москва,12.0,28.0,1.0,45.2,20500000.0,2024.0,13.7,16.0,Даниловский,ЗИЛ,453539.82
109,Москва,9.0,21.0,1.0,37.7,19905600.0,2027.0,12.5,13.4,Лефортово,Площадь Ильича,528000.0
